[19-07-10 05:29:04:061 PDT] Date;Organic Traffic
20190615;91898
20190515;104070
20190415;111018
20190315;95160
20190215;58607
20190115;58551
20181215;59487
20181115;58734
20181015;65212
20180915;63785
20180815;63687
20180715;56710
20180615;57792
20180515;58157
20180415;63395
20180315;66277
20180215;52077
20180115;60559
20171215;57303
20171115;57575
20171015;58584
20170915;65422
20170815;73472
20170715;78590

[19-07-10 05:29:04:628 PDT] Date;Organic Traffic
20190615;9772
20190515;7168
20190415;7197
20190315;7193
20190215;7965
20190115;7776
20181215;9853
20181115;8536
20181015;9426
20180915;9249
20180815;8856
20180715;8262
20180615;8426
20180515;8863
20180415;8839
20180315;9177
20180215;9992
20180115;10064
20171215;10200
20171115;10593
20171015;10723
20170915;9181
20170815;9476
20170715;9084

[19-07-10 05:29:05:331 PDT] Date;Organic Traffic
20190615;23270
20190515;18269
20190415;18650
20190315;14747
20190215;11611
20190115;10683
20181215;9772
20181115;9225
20181015;8148
20180915;6367
20180815;6674
20180715;6161
20180615;5819
20180515;5791
20180415;6090
20180315;6096
20180215;6424
20180115;6366
20171215;6721
20171115;7080
20171015;7571
20170915;8097
20170815;7848
20170715;7058

[19-07-10 05:29:06:042 PDT] Date;Organic Traffic
20190615;96934
20190515;89267
20190415;85691
20190315;88860
20190215;102014
20190115;103230
20181215;105592
20181115;101535
20181015;102980
20180915;100172
20180815;93600
20180715;70430
20180615;68373
20180515;67235
20180415;72139
20180315;70219
20180215;64858
20180115;70639
20171215;64569
20171115;63003
20171015;59477
20170915;59684
20170815;58118
20170715;55775

[19-07-10 05:29:06:635 PDT] Date;Organic Traffic
20190615;3753
20190515;2256
20190415;2021
20190315;2072
20190215;2300
20190115;2021
20181215;2262
20181115;2338
20181015;2046
20180915;2228
20180815;2864
20180715;2739
20180615;2308
20180515;1719
20180415;1583
20180315;1628
20180215;1533
20180115;1130
20171215;1642
20171115;1641
20171015;1660
20170915;1661
20170815;1765
20170715;1064

[19-07-10 05:29:07:044 PDT] Date;Organic Traffic
20190615;34230
20190515;16544
20190415;17548
20190315;18571
20190215;14355
20190115;14049
20181215;14471
20181115;15481
20181015;14518
20180915;15163
20180815;15506
20180715;16668
20180615;18937
20180515;19018
20180415;23779
20180315;21674
20180215;19483
20180115;19886
20171215;18980
20171115;19749
20171015;20693
20170915;20842
20170815;18289
20170715;17472

[19-07-10 05:29:07:738 PDT] Date;Organic Traffic
20190615;345
20190515;578
20190415;724
20190315;521
20190215;479
20190115;397
20181215;596
20181115;590
20181015;484
20180915;564
20180815;585
20180715;386
20180615;630
20180515;448
20180415;420
20180315;421
20180215;324
20180115;355
20171215;854
20171115;763
20171015;765
20170915;703
20170815;732
20170715;705

[19-07-10 05:29:08:554 PDT] Date;Organic Traffic
20190615;2164
20190515;1321
20190415;1615
20190315;1734
20190215;2024
20190115;2019
20181215;2111
20181115;2208
20181015;2251
20180915;2181
20180815;2254
20180715;2718
20180615;2842
20180515;3128
20180415;2815
20180315;3023
20180215;3206
20180115;2736
20171215;2516
20171115;2375
20171015;2251
20170915;2065
20170815;2242
20170715;1937

[19-07-10 05:29:09:152 PDT] Date;Organic Traffic
20190615;16161
20190515;13047
20190415;12395
20190315;13487
20190215;14171
20190115;13448
20181215;12971
20181115;14140
20181015;15806
20180915;15398
20180815;16093
20180715;10398
20180615;10243
20180515;10211
20180415;10656
20180315;11039
20180215;12764
20180115;13182
20171215;24898
20171115;24546
20171015;24569
20170915;24121
20170815;23683
20170715;23885

[19-07-10 05:29:09:696 PDT] Date;Organic Traffic
20190615;22366
20190515;20107
20190415;20203
20190315;20306
20190215;22227
20190115;21468
20181215;20726
20181115;20464
20181015;20978
20180915;17347
20180815;16263
20180715;15716
20180615;15813
20180515;18104
20180415;19771
20180315;19601
20180215;20935
20180115;18763
20171215;14901
20171115;16665
20171015;16399
20170915;15569
20170815;16749
20170715;16292

[19-07-10 05:29:10:323 PDT] Date;Organic Traffic
20190615;1013
20190515;1283
20190415;1178
20190315;1038
20190215;792
20190115;816
20181215;784
20181115;803
20181015;787
20180915;804
20180815;837
20180715;903
20180615;994
20180515;994
20180415;1028
20180315;1030
20180215;970
20180115;940
20171215;1044
20171115;990
20171015;1073
20170915;1131
20170815;1138
20170715;1081

[19-07-10 05:29:10:735 PDT] Date;Organic Traffic
20190615;141
20190515;92
20190415;94
20190315;93
20190215;14
20190115;2
20181215;2
20181115;1
20181015;4
20180915;12
20180815;32
20180715;1
20180615;2
20180515;2
20180415;6
20180315;6
20180215;6
20180115;43
20171215;55
20171115;54
20171015;13
20170915;7
20170815;42
20170715;11

[19-07-10 05:29:11:211 PDT] Date;Organic Traffic
20190615;7
20190515;3
20190415;0
20190315;3
20190215;0
20190115;0
20181215;0
20181115;0
20181015;0
20180915;0
20180815;0
20180715;3
20180615;1
20180515;1
20180415;0
20180315;1
20180215;1
20180115;1
20171215;2
20171115;0
20171015;0
20170915;0
20170815;1
20170715;4

[19-07-10 05:29:11:778 PDT] Date;Organic Traffic
20190615;66
20190515;15
20190415;18
20190315;19
20190215;19
20190115;25
20181215;25
20181115;12
20181015;18
20180915;16
20180815;19
20180715;22
20180615;22
20180515;22
20180415;21
20180315;11
20180215;2
20180115;15
20171215;1
20171115;1
20171015;1
20170915;1
20170815;1
20170715;6

[19-07-10 05:29:13:147 PDT] Date;Organic Traffic
20190615;2
20190515;0
20190415;0
20190315;0
20190215;0
20190115;0
20181215;0
20181115;0
20181015;0
20180915;0
20180815;0
20180715;0
20180615;0
20180515;0
20180415;0
20180315;0
20180215;1
20180115;0
20171215;0
20171115;0
20171015;0
20170915;0
20170815;0
20170715;0

[19-07-10 05:29:13:618 PDT] Date;Organic Traffic
20190615;55
20190515;96
20190415;312
20190315;309
20190215;305
20190115;314
20181215;101
20181115;300
20181015;78
20180915;317
20180815;305
20180715;69
20180615;306
20180515;305
20180415;308
20180315;309
20180215;303
20180115;311
20171215;105
20171115;117
20171015;80
20170915;52
20170815;22
20170715;21

[19-07-10 05:29:14:410 PDT] Date;Organic Traffic
20190615;6
20190515;22
20190415;11
20190315;11
20190215;34
20190115;35
20181215;41
20181115;48
20181015;37
20180915;44
20180815;46
20180715;13
20180615;24
20180515;26
20180415;28
20180315;22
20180215;35
20180115;25
20171215;13
20171115;24
20171015;30
20170915;32
20170815;17
20170715;10

[19-07-10 05:29:15:284 PDT] Date;Organic Traffic
20190615;37
20190515;27
20190415;16
20190315;24
20190215;42
20190115;33
20181215;29
20181115;39
20181015;39
20180915;31
20180815;18
20180715;9
20180615;80
20180515;80
20180415;98
20180315;95
20180215;91
20180115;44
20171215;69
20171115;66
20171015;41
20170915;38
20170815;42
20170715;2

[19-07-10 05:29:15:987 PDT] Date;Organic Traffic
20190615;13413
20190515;12554
20190415;12381
20190315;11992
20190215;12498
20190115;12150
20181215;12708
20181115;12399
20181015;13190
20180915;13907
20180815;14406
20180715;12300
20180615;12201
20180515;12393
20180415;12875
20180315;13215
20180215;13216
20180115;12731
20171215;10270
20171115;10549
20171015;9954
20170915;10128
20170815;9882
20170715;9844

[19-07-10 05:29:16:467 PDT] Date;Organic Traffic
20190615;114
20190515;104
20190415;88
20190315;87
20190215;98
20190115;98
20181215;148
20181115;139
20181015;141
20180915;136
20180815;136
20180715;173
20180615;170
20180515;151
20180415;151
20180315;173
20180215;146
20180115;57
20171215;9
20171115;19
20171015;32
20170915;28
20170815;27
20170715;24

[19-07-10 05:29:16:926 PDT] Date;Organic Traffic
20190615;30
20190515;1
20190415;3
20190315;1
20190215;1
20190115;1
20181215;1
20181115;44
20181015;1
20180915;4
20180815;11
20180715;106
20180615;5
20180515;1
20180415;3
20180315;3
20180215;1
20180115;1
20171215;23
20171115;7
20171015;2
20170915;2
20170815;2
20170715;27

[19-07-10 05:29:17:405 PDT] Date;Organic Traffic
20190615;1280
20190515;1268
20190415;1266
20190315;1375
20190215;1272
20190115;1372
20181215;1509
20181115;1391
20181015;1449
20180915;1385
20180815;1340
20180715;1538
20180615;1316
20180515;1316
20180415;1321
20180315;1327
20180215;1400
20180115;1405
20171215;1154
20171115;1297
20171015;1329
20170915;1350
20170815;1330
20170715;1330

[19-07-10 05:29:17:928 PDT] Date;Organic Traffic
20190615;13
20190515;13
20190415;48
20190315;20
20190215;9
20190115;15
20181215;14
20181115;9
20181015;11
20180915;68
20180815;10
20180715;47
20180615;85
20180515;15
20180415;57
20180315;58
20180215;53
20180115;185
20171215;142
20171115;166
20171015;158
20170915;98
20170815;85
20170715;84

[19-07-10 05:29:18:335 PDT] Date;Organic Traffic
20190615;10
20190515;1
20190415;4
20190315;9
20190215;5
20190115;14
20181215;16
20181115;11
20181015;40
20180915;21
20180815;14
20180715;15
20180615;31
20180515;26
20180415;22
20180315;30
20180215;30
20180115;13
20171215;7
20171115;7
20171015;8
20170915;8
20170815;15
20170715;11

[19-07-10 05:29:18:874 PDT] Date;Organic Traffic
20190615;61
20190515;0
20190415;0
20190315;1
20190215;2
20190115;0
20181215;0
20181115;2
20181015;2
20180915;4
20180815;1
20180715;7
20180615;4
20180515;4
20180415;6
20180315;3
20180215;3
20180115;0
20171215;9
20171115;10
20171015;11
20170915;4
20170815;2
20170715;4

[19-07-10 05:29:19:359 PDT] Date;Organic Traffic
20190615;1400
20190515;1230
20190415;1216
20190315;1284
20190215;1241
20190115;1308
20181215;1321
20181115;1217
20181015;1302
20180915;1363
20180815;1397
20180715;1424
20180615;1394
20180515;1339
20180415;1344
20180315;1355
20180215;1365
20180115;1404
20171215;1609
20171115;1617
20171015;1494
20170915;1502
20170815;1508
20170715;1513

[19-07-10 05:29:19:778 PDT] Date;Organic Traffic
20190615;2112
20190515;2337
20190415;2539
20190315;2324
20190215;2341
20190115;2298
20181215;2345
20181115;2435
20181015;2389
20180915;2502
20180815;2357
20180715;2647
20180615;2440
20180515;2329
20180415;2304
20180315;2229
20180215;2184
20180115;2011
20171215;541
20171115;552
20171015;503
20170915;563
20170815;634
20170715;705

[19-07-10 05:29:20:272 PDT] Date;Organic Traffic
20190615;104
20190515;68
20190415;49
20190315;50
20190215;51
20190115;59
20181215;60
20181115;106
20181015;41
20180915;53
20180815;91
20180715;66
20180615;83
20180515;79
20180415;116
20180315;113
20180215;48
20180115;132
20171215;61
20171115;81
20171015;54
20170915;64
20170815;63
20170715;55

[19-07-10 05:29:20:802 PDT] Date;Organic Traffic
20190615;82
20190515;11
20190415;9
20190315;14
20190215;109
20190115;53
20181215;100
20181115;14
20181015;39
20180915;98
20180815;102
20180715;5
20180615;20
20180515;21
20180415;19
20180315;22
20180215;23
20180115;16
20171215;7
20171115;11
20171015;4
20170915;7
20170815;6
20170715;6

[19-07-10 05:29:21:233 PDT] Date;Organic Traffic
20190615;12
20190515;5
20190415;3
20190315;2
20190215;5
20190115;9
20181215;7
20181115;8
20181015;9
20180915;10
20180815;11
20180715;15
20180615;12
20180515;12
20180415;13
20180315;11
20180215;12
20180115;1
20171215;10
20171115;9
20171015;12
20170915;15
20170815;11
20170715;8

